Movie	Genre	MPAA rating	Origin	Roger Ebert	Nominations	Wins	Sequel	Budget	First weekend gross	Month of opening weekend releas	First weekend number of screens	Total domestic gross	Total UK gross
Osama	Drama 	PG-13	Afghanistan / Netherlands / Japan / Ireland / Iran 	3.5	0	0	n	46000	51969	2.6.04	4	1127331	
Our Music	Drama		France / Switzerland 		0	0	n		8210	11.26.04	1	139922	
"Outfoxed: Rupert Murdoch's War on Journalism"	Documentary		USA		0	0	n	200000	78054	8.6.04	5	237277	
P.S.	Drama	R	USA	3	0	0	n		18710	10.15.04	3	175408	
Paparazzi	Drama	PG-13	USA		0	0	n	20000000	7855111	9.3.04	2115	15712072	
Primer	Drama	PG-13	USA	3.5	0	0	n	7000	28162	10.8.04	4	424760	
Raise Your Voice	Drama	PG	USA	1	0	0	n	15000000	4022693	10.8.04	2521	10411980	
Raising Helen	Comedy	PG-13	USA	2	0	0	n		14239252	5.28.04	2717	37486138	463995
Ray	Biography	PG-13	USA	4	3	1	n	40000000	20039730	10.29.04	2006	75305995	1592017
Red Lights	Drama		France		0	0	n		3202	8.20.04	1	672105	
Remember Me My Love	Comedy	R	Italy / France / UK		0	0	n		19684	9.3.04	2	223878	
Resident Evil: Apocalypse	Action	R	Germany / France / UK / Canada	0.5	0	0	y	43000000	23036273	9.10.04	3284	50740078	1823778
Riding Giants	Documentary	PG-13	USA / France	3.5	0	0	n		134400	7.9.04	26	2276368	
Rosenstrasse	Drama	PG-13	Germany / Netherlands		0	0	n		45024	7.30.04	10	732036	
Saddest Music in the World	Drama	R	Canada	3.5	0	0	n		37743	4.30.04	4	669128	
Saints and Soldiers	Action	PG-13	USA	3	0	0	n	780000	129056	8.6.04	26	1310270	
Saved!	Comedy	PG-13	USA	3.5	0	0	n	5000000	459386	5.28.04	20	8786715	80772
Saw	Thriller	R	USA	2	0	0	n	1200000	18276468	10.29.04	2315	55153403	6645485
