Show	Viewers	Network	Type	Comedy	Drama	News	Reality	Sports	ABC	CBS	Fox	NBC	UPN	WB
Lost	1.790000000e+001	ABC	Drama	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000
ER	1.750000000e+001	NBC	Drama	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000
Two & A Half Men	1.720000000e+001	CBS	Comedy	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000
Extreme Makeover: Home Edition	1.690000000e+001	ABC	Reality	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000
Monday Night Football	1.630000000e+001	ABC	Sports	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000
The Apprentice 2	1.600000000e+001	NBC	Reality	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000
Cold Case	1.590000000e+001	CBS	Drama	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000
CSI New York	1.450000000e+001	CBS	Drama	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000
Law & Order: SVU	1.440000000e+001	NBC	Drama	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000
Medium	1.430000000e+001	NBC	Drama	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000
Navy NCIS	1.410000000e+001	CBS	Drama	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000
The Apprentice 3	1.410000000e+001	NBC	Reality	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000
